model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.8471088435374149,0.8767529146045769,0.783399209486166,0.8245007436109558,0.9024931590148981,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502166
random_forest,0.8139455782312925,0.8128787878787879,0.773913043478261,0.7899756118072492,0.8926970372622547,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9431818181818182
